A0A0A7EPL0-2	locus:2035999	AT1G08910
A0A178VEK7	locus:2103386	AT3G60460
A0A178WF56	locus:2205245	AT1G56060
A0A1I9LM04-2	locus:2080620	AT3G57060
A0A1I9LM04-1	locus:2080620	AT3G57060
A0A1I9LMX5	locus:2098695	AT3G50610
A0A1I9LN01-2	locus:2081998	AT3G55850
A0A1I9LN01-1	locus:2081998	AT3G55850
A0A1I9LN01-2	locus:2081998	AT3G55850
A0A1P8AQ95	locus:4515102720	AT1G65486
A0A1P8ASY1-2	locus:2025610	AT1G08840
A0A1P8ASY1-1	locus:2025610	AT1G08840
A0A1P8ASY1-3	locus:2025610	AT1G08840
A0A1P8AUY4-2	locus:2033661	AT1G67120
A0A1P8AUY4-1	locus:2033661	AT1G67120
A0A1P8AW69	locus:2202129	AT1G11160
A0A2H1ZEF6	locus:2034200	AT1G80390
A0JQ18	locus:2017694	AT1G22890
A0MES8	locus:2005490	AT2G40220
A0SVK0-2	locus:2152390	AT5G45830
A0SVK0-1	locus:2152390	AT5G45830
A0SVK0-2	locus:2152390	AT5G45830
A1A6H3	locus:2020337	AT1G17160
A1A6M1-1	locus:2119475	AT4G13670
A1A6M1-2	locus:2119475	AT4G13670
A1A6M1-2	locus:2119475	AT4G13670
A1YKT1-1	locus:2086929	AT3G18550
A1YKT1-2	locus:2086929	AT3G18550
A1YKT1-1	locus:2086929	AT3G18550
A2RVJ8	locus:2184053	AT5G10010
A2RVK7	locus:2124024	AT4G27490
A2RVK7	locus:2124024	AT4G27490
A2RVK7	locus:2124024	AT4G27490
A2RVM0-2	locus:2117969	AT4G23430
A2RVM0-1	locus:2117969	AT4G23430
A2RVM0-3	locus:2117969	AT4G23430
A2RVQ5-1	locus:2082618	AT3G57230
A2RVQ5-2	locus:2082618	AT3G57230
A2RVQ5-1	locus:2082618	AT3G57230
A3EWL3-2	locus:2156319	AT5G44750
A3EWL3-1	locus:2156319	AT5G44750
A3KPF2-1	locus:2154339	AT5G49020
A3KPF2-2	locus:2154339	AT5G49020
A4FVP2-1	locus:2129101	AT4G16740
A4FVP2-2	locus:2129101	AT4G16740
A4FVP6	locus:2026114	AT1G34180
A4GNA8	locus:2120820	AT4G25970
A4GSN8-1	locus:2207390	AT1G79280
A4GSN8-2	locus:2207390	AT1G79280
A4GSN8-3	locus:2207390	AT1G79280
A5HEI1-1	locus:2180942	AT5G15540
A5HEI1-2	locus:2180942	AT5G15540
A7UL74	locus:2128126	AT4G31400
A7WM73	locus:2100706	AT3G55260
A7XDQ9-1	locus:2133094	AT4G21060
A8MPR5	locus:2094892	AT3G16290
A8MQA5	locus:4010713427	AT1G10717
A8MQL1-2	locus:2018279	AT1G04300
A8MQL1-1	locus:2018279	AT1G04300
A8MQL9	locus:2140578	AT4G09960
A8MQN2-2	locus:2164416	AT5G64170
A8MQN2-1	locus:2164416	AT5G64170
A8MQN2-1	locus:2164416	AT5G64170
A8MQY1-1	locus:2116972	AT4G01540
A8MR65-2	locus:2185188	AT5G02200
A8MR65-1	locus:2185188	AT5G02200
A8MR93-5	locus:4010713407	AT1G02145
A8MR93-2	locus:4010713407	AT1G02145
A8MR93-1	locus:4010713407	AT1G02145
A8MR93-6	locus:4010713407	AT1G02145
A8MRD9-2	locus:2025712	AT1G80810
A8MRD9-1	locus:2025712	AT1G80810
A8MRD9-2	locus:2025712	AT1G80810
A8MRX0-1	locus:2201971	AT1G12140
A8MRX0-2	locus:2201971	AT1G12140
A8MRX0-1	locus:2201971	AT1G12140
A8MS41-2	locus:2028611	AT1G31500
A8MS41-3	locus:2028611	AT1G31500
A8MS41-5	locus:2028611	AT1G31500
A8MS41-1	locus:2028611	AT1G31500
A8MS41-6	locus:2028611	AT1G31500
A8MS68-2	locus:2086177	AT3G16950
A8MS68-1	locus:2086177	AT3G16950
