Q9SHY6	At1g65680
A0A654EWS4	AT1G64990.2;AT1G64990.1
A0A178WII3	AT1G11680.1
A0A178V4Z5	AT4G16444.1
Q9XI78	At1g14100
A0A654F9L3	AT3G22240.1;AT3G22240.1
Q9SRQ8	At3g03550
Q9LRY7	At3g24715.1;AT3G24715.2;AT3G24715.3
B9DHE0	At3g32980.1
Q9FT69	At5g27680.1;AT5G27680.2;AT5G27680.3;AT5G27680.4
A0A178UM28	AT5G49460.2;AT5G49460.1
Q9SRT4	At3g07320.1
Q8S8T7	At2g40955.1
P93300	At2g07702.1;ATMG00440.1;ATMG01140.1
Q9ZPY5	At2g46540.1
Q8S889	AT2G07705.1
Q8S886	AT2G07721.1
A0A5S9X3F1	At2g33050.1
O49326-2	AT2G33070.3
Q9FGP3	At5g50550.1;AT5G50650.1
Q9LUF5	AT5G50560.1;AT5G50660.1
A0A1P8BBZ8	AT5G50565.3;AT5G50565.4;AT5G50665.3;AT5G50665.4
Q9FGP4	At5g50540.1
A0A178W9T8	At1g75490.1
Q944B6	At5g34930.1
O04532	AT1G70140.1
A0A178WL40	AT1G08570.1
Q9XIR2	AT1G64830.1
Q1PFG9	AT1G64820.1
Q3ECI4	AT1G64800.1
Q0WUT5	AT1G64810.1
O22817	AT2G43870.1
F4I896	AT1G64810.2
O04533	AT1G70130.1
W8Q3M8	AT1G70090.1;AT1G70090.2
A0A5S9WPC1	AT1G64780.1
A0A654EB80	AT1G14160.1
Q9XIS1	AT1G64700.1
Q9SLM8	AT2G43880.1
A0A178WH62	AT1G64520.1
F4I6S6	AT1G64570.1
A0A5S9WPK7	AT1G65410.1
A0A178WH70	AT1G02065.1
Q3EDL2	AT1G02065.2
A0A5S9WPJ4	AT1G65420.1
A0A178W3L0	AT1G02060.1
Q940M1	AT1G65370.1
Q9C870	AT1G31390.1
A0A178WKY7	AT1G02050.1
Q9C871	AT1G31380.1
Q3EDL3	AT1G02040.1
Q9C5Q9-1	AT1G65390.1
A8MR18	AT1G65390.2
A0A178W1F2	AT1G31340.1
A0A178WKZ1	AT1G01980.1
Q9LPC2	AT1G01990.1
Q8VZK1	AT1G64610.1;AT1G64610.2
Q8VZK1	AT1G64610.1;AT1G64610.2
Q4PSX0	AT1G69900.1
A0A654EYB5	AT1G69860.1
A0A654EMN9	AT1G69880.1
Q9C8B9	AT1G35830.1
A0A654ESS1	AT1G69870.1
O80559	AT2G43890.1
A0A178W5Y9	AT1G14150.1
Q9XIR9	AT1G64720.1
A0A178WH45	AT1G14140.1
A0A178WGK3	AT1G08490.1
Q9C8W0	AT1G36030.1
O04542	AT1G70020.1
Q84R24	AT1G70030.1
A0A654EL07	AT1G64770.1
F4I891	AT1G64770.2
Q9C8V9	AT1G36020.1
O80800	AT1G65290.1
Q8H130	AT1G65295.1
Q8H1B3-1	AT1G09080.1
Q7XJK8	AT1G65300.1
O04023	AT1G09070.1
Q8RX35	AT1G09050.1;AT1G09050.2
A0A178W6I0	AT1G09020.1
C0SUU0	AT1G09030.1
F4HZC9	AT1G09040.1
F4HZD1-2	AT1G09060.1;AT1G09060.2
F4HZD1-1	AT1G09060.3;AT1G09060.4
F4HZD1-2	AT1G09060.1;AT1G09060.2
Q9SHF2	AT1G31290.1
A2RVL7	AT1G65310.1
Q84UU9	AT1G70080.1
B9DFG3	AT1G70070.1
Q8GW63	AT1G64600.1
B3H6Y0	AT1G08310.1
Q9XI89	AT1G13970.1
A0A654EP87	AT1G69780.1
A0A654EYA0	AT1G69790.1
A0A178W5I4	AT1G69800.1
A0A654EMJ3	AT1G69770.1
Q9C9L7	AT1G69760.1
Q9XI90-1	AT1G13960.1
A0A178WCT0	AT1G69740.1;AT1G69740.2;AT1G69740.3
Q9C9L6	AT1G69750.1;AT1G66590.1;AT1G69750.3;AT1G69750.4;AT1G69750.5
Q9LP21	AT1G35750.1
Q058I4	AT1G69810.1
A0A178WLQ0	AT1G64740.1
O04540	AT1G70040.1
Q2PDG5	AT1G64750.1;AT1G64750.2
Q2PDG5	AT1G64750.1;AT1G64750.2
Q6NKW9	AT1G64760.1;AT1G64760.2
Q6NKW9	AT1G64760.1;AT1G64760.2
O24629-1	AT1G64860.1
A0A178WK53	AT1G70170.1
Q9XIQ9	AT1G64870.1
Q9C5G0-1	AT1G30970.1
A0A5S9WPE5	AT1G64970.1
Q9LPC4	AT1G01970.1
F4I9X5	AT1G65342.1
A0A5S9WGW9	AT1G31330.1
O80806	AT1G65340.1
A0A1P8AZC1	AT2G43880.2
F4HW05	AT1G08270.2
A0A178WDI2	AT1G08280.1
A0A654E9F2	AT1G08290.1
A0A178W954	AT1G08250.1
A0A2H1ZEF2	AT1G69820.1
Q9LP18	AT1G35780.1
A0A654EP66	AT1G69830.1
A0A654EML2	AT1G69910.1
Q6NMS0	AT1G69920.1
O82653	AT1G30960.1
C0SUY4	AT1G30950.1
Q9XIQ2	AT1G64940.1
Q9XIQ1	AT1G64950.1
Q2PE60	AT1G36150.1
Q0V7S4	AT1G08700.1
A0A178WLM7	AT1G64980.1;AT1G64980.3
A0A178WH61	AT1G31010.1
Q38970	AT1G36160.1;AT1G36160.2
Q9FYJ0	AT1G30990.1
A0A1P8B2Q9	AT2G43500.8;AT2G43500.1;AT2G43500.10;AT2G43500.11;AT2G43500.3;AT2G43500.7;AT2G43500.6;AT2G43500.9
A0A178VRX5	AT2G43810.3;AT2G43810.1;AT2G43810.2
A0A178VYB5	AT2G43850.1
W8PV84	AT1G64920.1
W8QP62	AT1G64910.1
A0A654EMX6	AT1G69990.1
O04547-1	AT1G69970.1
F4I878	AT1G64690.1;AT1G64690.2
A0A178WFY3	AT1G69960.1
A0A178WKZ6	AT1G64670.1
Q94EJ2	AT1G08460.1
A0A1P8B137	AT2G43850.3
A0A178W681	AT1G08450.1
F4HW29	AT1G08450.2
Q9SJE8	AT1G08440.1
A0A5S9WS02	AT1G64900.1
P42751	AT1G70210.1
F4I1K8	AT1G36095.1
Q9SKV8	AT1G36100.1
Q84JK1	AT1G70200.1
O04527	AT1G70190.1;AT1G70190.2
F4I5C6	AT1G70180.1;AT1G70180.4
Q8VZ94	AT1G70180.2
Q0V7U5	AT1G36070.1
A0A178WET4	AT1G08590.1
Q96254-2	AT2G44100.2
Q8RXE7-1	AT1G08680.1
Q8RXE7-3	AT1G08680.3
A0A654EFH5	AT1G36000.1
A0A178WHH8	AT1G08420.1
A0A654E8W9	AT1G08430.1
A0A2H1ZE37	AT2G43910.2
Q9SGU9	AT1G64660.1
A0A654EPA8	AT1G69940.1
A0A178W6A5	AT1G08360.1
A0A178WEE2	AT1G14010.1
A0A178WN79	AT1G08340.1
Q9SJF3	AT1G08370.1
A0A178VUS5	AT2G44060.1;AT2G44060.2
A0A178VUS5	AT2G44060.1;AT2G44060.2
Q9C8B6	AT1G35880.1
A0A178W2H8	AT1G69930.1
Q8RXE7-2	AT1G08680.2
A0A7G2E6F4	AT1G64890.1
A0A5S9TBJ9	AT1G08660.1
A0A5S9TB23	AT1G08650.1
A0A654E844	AT1G08640.1
A0A654E972	AT1G08630.1;AT1G08630.3;AT1G08630.2;AT1G08630.4;AT1G08630.6
A0A654E972	AT1G08630.1;AT1G08630.3;AT1G08630.2;AT1G08630.4;AT1G08630.6
A0A654E972	AT1G08630.1;AT1G08630.3;AT1G08630.2;AT1G08630.4;AT1G08630.6
Q9FRS4	AT1G08610.1
A0A178VP08	AT2G43920.4;AT2G43920.5;AT2G43920.6;AT2G43920.3
A0A178WB84	AT1G08480.1
A0A178WFW7	AT1G35910.1
A0A178W5Y5	AT1G08380.1
A0A654E9Q2	AT1G14020.1
A0A654E9G2	AT1G08390.1
A0A654EML3	AT1G69935.1
Q8VZU4	AT2G44065.1;AT2G44065.2;AT2G44065.3
C0SV16	AT1G64630.1
Q7XJU0-1	AT1G64625.1
Q84JQ8	AT1G64620.1
Q9XI82	AT1G14060.1
A0A654EIM8	AT1G08400.1
Q9XI84	AT1G14030.1
Q6R8G7	AT1G14040.1
A0A5S9T9K7	AT1G08410.1
A0A178WE03	AT1G08710.1
A0A178W355	AT1G08520.1
Q0WNC2	AT1G08530.1
O22056	AT1G08540.1
A0A7G2DV85	AT1G36060.1
B9DGR5	AT1G08550.1;AT1G08550.2;AT1G08550.3
B9DGR5	AT1G08550.1;AT1G08550.2;AT1G08550.3
A0A654E7X4	AT1G08510.1
F4I3X8	AT1G70120.1
Q94BQ6	AT1G70100.1;AT1G70100.2;AT1G70100.5
F4I3X3	AT1G70100.3;AT1G70100.6
O04534	AT1G70110.1
A0A178WAC8	AT1G08560.1
Q9XIR1	AT1G64840.1
A0A178VP08	AT2G43920.4;AT2G43920.5;AT2G43920.6;AT2G43920.3
Q9FPR3	AT1G08720.1
F4HXP9	AT1G08730.1
Q8VZU4	AT2G44065.1;AT2G44065.2;AT2G44065.3
O80807	AT1G65360.1
A0A178W5D7	AT1G02030.1
A0A178WK70	AT1G08470.1
A0A178VP08	AT2G43920.4;AT2G43920.5;AT2G43920.6;AT2G43920.3
F4IT19	AT2G43930.1
A0A5S9WS18	AT1G64550.1
A0A178WD18	AT1G69840.1;AT1G69840.2;AT1G69840.4;AT1G69840.3;AT1G69840.5;AT1G69840.6;AT1G69840.7
A0A178WD18	AT1G69840.1;AT1G69840.2;AT1G69840.4;AT1G69840.3;AT1G69840.5;AT1G69840.6;AT1G69840.7
A0A178WD18	AT1G69840.1;AT1G69840.2;AT1G69840.4;AT1G69840.3;AT1G69840.5;AT1G69840.6;AT1G69840.7
A0A178WD18	AT1G69840.1;AT1G69840.2;AT1G69840.4;AT1G69840.3;AT1G69840.5;AT1G69840.6;AT1G69840.7
P0C2F8	AT1G64540.1;AT1G64540.2
A0A178W7G0	AT1G69850.1
Q8RWY4	AT1G64530.1
Q42510	AT1G13980.1;AT1G13980.2
